DateTime,Temperature(F),score,delta_1h
2006-09-08 08:00:00-08:00,47,-0.025210095450395875,-11.0
2007-08-05 07:00:00-08:00,51,-0.002068581797777913,-4.0
2008-07-11 03:00:00-08:00,58,-0.010818626491428174,-5.0
2008-07-11 05:00:00-08:00,54,-0.010484093674474781,-3.0
2008-07-11 06:00:00-08:00,53,-0.02323229593316123,-1.0
2008-07-11 07:00:00-08:00,54,-0.003990104435770636,1.0
2009-04-23 03:00:00-08:00,43,-0.007994392804738681,-11.0
2010-02-01 11:00:00-08:00,66,-0.007211541258288712,19.0
2013-06-08 20:00:00-08:00,58,-0.0037808380281879606,-7.0
2015-06-09 07:00:00-08:00,53,-0.02621299522838383,-22.0
2017-09-11 03:00:00-08:00,58,-0.000566299292484751,-20.0
2018-11-06 11:00:00-08:00,37,-0.03602275859511106,-27.0
2018-12-30 18:00:00-08:00,26,-0.04698368778748108,-22.0
2019-02-13 17:00:00-08:00,27,-0.02346711675404556,-21.0
2020-06-05 03:00:00-08:00,49,-0.0007038178108257354,0.0
2021-07-23 09:00:00-08:00,83,-0.032664611016241185,25.0
2024-07-27 04:00:00-08:00,46,-0.0025098099468243706,-7.0
2024-07-27 05:00:00-08:00,47,-0.004534041605672945,1.0
